Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
TOTAL RECREATION LABOR & RELATED,10246.00,337.00,13488.00,187.10,-3242.00,149.90,8775.00,217.00,1471.00,120.00
MISCELLANEOUS,32.00,1.00,95.00,1.30,-63.00,-0.30,0.00,0.00,32.00,1.00
OPERATING SUPPLIES,1067.00,35.10,200.00,2.80,867.00,32.30,238.00,5.90,828.00,29.20
PRINTING & STATIONERY,637.00,20.90,250.00,3.50,387.00,17.50,628.00,15.50,9.00,5.40
TOTAL RECREATION OTHER EXPENSES,1735.00,57.10,545.00,7.60,1190.00,49.50,866.00,21.40,869.00,35.60
TOTAL RECREATION EXPENSE,11981.00,394.10,14033.00,194.60,-2052.00,199.40,9641.00,238.40,2340.00,155.70
TOTAL RECREATION PROFIT,-8941.00,-294.10,-6823.00,-94.60,-2117.00,-199.40,-5597.00,-138.40,-3344.00,-155.70
CANCEL/FORFEITED DEPOSITS,71248.00,53.00,1002.00,1.20,70246.00,51.70,463.00,0.70,70785.00,52.30
ATTRITION,1431.00,1.10,910.00,1.10,521.00,-0.10,0.00,0.00,1431.00,1.10
ATTRITION - F&B,4.00,0.00,406.00,0.50,-402.00,-0.50,0.00,0.00,4.00,0.00
LONG DISTANCE,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,6.00,0.00
TOTAL MISCELLANEOUS INCOME REVENUE 1,72683.00,54.00,2318.00,2.90,70365.00,51.10,457.00,0.70,72226.00,53.30
RESORT FEE,35701.00,26.50,42777.00,53.10,-7076.00,-26.60,30188.00,44.30,5513.00,-17.80
RESORT FEE GROUP,15365.00,11.40,27230.00,33.80,-11865.00,-22.40,29970.00,44.00,-14605.00,-32.60
OTHER,10404.00,7.70,8063.00,10.00,2340.00,-2.30,8345.00,12.20,2059.00,-4.50
DISCOUNTS,852.00,0.60,381.00,0.50,471.00,0.20,431.00,0.60,421.00,0.00
GUEST LAUNDRY,33.00,0.00,11.00,0.00,22.00,0.00,41.00,0.10,-8.00,0.00
PARKING INCOME,-3479.00,-2.60,-3962.00,-4.90,482.00,2.30,-3970.00,-5.80,491.00,3.20
VENDING COMMISSIONS,2990.00,2.20,3714.00,4.60,-724.00,-2.40,2664.00,3.90,327.00,-1.70
TOTAL MISCELLANEOUS INCOME REVENUE,134549.00,10.60,80533.00,6.60,54016.00,4.00,68125.00,5.30,66424.00,5.30
TOTAL MISCELLANEOUS INCOME PROFIT,134549.00,100.00,80533.00,100.00,54016.00,0.00,68125.00,100.00,66424.00,0.00
MANAGER,14095.00,1.10,15857.00,1.30,-1763.00,-0.20,16752.00,1.30,-2657.00,-0.20
PURCHASING MANAGER,5589.00,0.40,4727.00,0.40,862.00,0.10,5696.00,0.40,-107.00,0.00
CONTROLLER,11972.00,0.90,15153.00,1.20,-3181.00,-0.30,16299.00,1.30,-4327.00,-0.30
SECURITY DIRECTOR,3402.00,0.30,4718.00,0.40,-1316.00,-0.10,4493.00,0.30,-1091.00,-0.10
TOTAL ADMIN & GENERAL MANAGEMENT,35057.00,2.70,40455.00,3.30,-5398.00,-0.60,43240.00,3.40,-8182.00,-0.60
ACCOUNTING STAFF,0.00,0.00,0.00,0.00,0.00,0.00,1789.00,0.10,-1789.00,-0.10
ACCOUNTS RECEIVABLE AGENT,2784.00,0.20,2943.00,0.20,-158.00,0.00,3795.00,0.30,-1011.00,-0.10
INCOME AUDITOR,0.00,0.00,0.00,0.00,0.00,0.00,2887.00,0.20,-2887.00,-0.20
PAYROLL/GEN CASH,305.00,0.00,3413.00,0.30,-3109.00,-0.30,0.00,0.00,305.00,0.00
TOTAL ADMIN & GENERAL ACCOUNTING,3089.00,0.20,6356.00,0.50,-3267.00,-0.30,8471.00,0.70,-5382.00,-0.40
PURCHASING,3129.00,0.20,4474.00,0.40,-1345.00,-0.10,4513.00,0.30,-1384.00,-0.10
TOTAL ADMIN & GENERAL PURCHASING/RECEIVING,3129.00,0.20,4474.00,0.40,-1345.00,-0.10,4513.00,0.30,-1384.00,-0.10
SECURITY AGENTS,9157.00,0.70,10089.00,0.80,-932.00,-0.10,9754.00,0.80,-597.00,0.00
SECURITY SUPERVISOR,6077.00,0.50,6018.00,0.50,59.00,0.00,2204.00,0.20,3873.00,0.30
TOTAL ADMIN & GENERAL SECURITY,15234.00,1.20,16107.00,1.30,-873.00,-0.10,11958.00,0.90,3276.00,0.30
TOTAL ADMIN & GENERAL NON-MANAGEMENT,21451.00,1.70,26937.00,2.20,-5485.00,-0.50,24942.00,1.90,-3490.00,-0.30
SUBTOTAL: ADMIN & GENERAL SALARIES & WAGES,56509.00,4.40,67392.00,5.50,-10883.00,-1.10,68181.00,5.30,-11672.00,-0.90
BONUS/INCENTIVES - ADMIN & GENERAL,4970.00,0.40,4970.00,0.40,0.00,0.00,4780.00,0.40,190.00,0.00
TOTAL ADMIN & GENERAL BONUS,4970.00,0.40,4970.00,0.40,0.00,0.00,4780.00,0.40,190.00,0.00
CONTRACTED/LEASED & OUTSOURCED LABOR,1376.00,0.10,0.00,0.00,1376.00,0.10,6584.00,0.50,-5208.00,-0.40
TOTAL ADMIN & GENERAL CONTRACT LABOR,1376.00,0.10,0.00,0.00,1376.00,0.10,6584.00,0.50,-5208.00,-0.40
"TOTAL ADMIN & GENERAL SALARIES, WAGES, SC, CONTRACT & BONUS",62855.00,4.90,72362.00,5.90,-9507.00,-1.00,79545.00,6.20,-16690.00,-1.20
PAYROLL TAXES,7081.00,0.60,5054.00,0.40,2027.00,0.10,6423.00,0.50,658.00,0.10
TOTAL ADMIN & GENERAL TAXES,7081.00,0.60,5054.00,0.40,2027.00,0.10,6423.00,0.50,658.00,0.10
SUPPLEMENTAL PAY,5340.00,0.00,3039.00,0.00,2301.00,0.00,4035.00,0.00,1305.00,0.00
PTO EXPENSE,5593.00,0.40,3134.00,0.30,2459.00,0.20,-2241.00,-0.20,7834.00,0.60
TOTAL ADMIN & GENERAL SUPPLEMENTAL PAY,10933.00,0.90,6173.00,0.50,4760.00,0.40,1794.00,0.10,9139.00,0.70
WORKERS COMP,749.00,0.10,687.00,0.10,62.00,0.00,764.00,0.10,-14.00,0.00
HEALTH INSURANCE,-2855.00,-0.20,6840.00,0.60,-9695.00,-0.80,7234.00,0.60,-10089.00,-0.80
401K,1035.00,0.10,820.00,0.10,215.00,0.00,820.00,0.10,215.00,0.00
EMPLOYEE MEALS,449.00,0.00,577.00,0.00,-128.00,0.00,19.00,0.00,431.00,0.00
EMPLOYEE BENEFITS,61.00,0.00,40.00,0.00,21.00,0.00,42.00,0.00,19.00,0.00
TOTAL ADMIN & GENERAL BENEFITS,-560.00,0.00,8965.00,0.70,-9525.00,-0.80,8879.00,0.70,-9439.00,-0.70
TOTAL ADMIN & GENERAL PAYROLL RELATED,17454.00,1.40,20193.00,1.60,-2738.00,-0.30,17096.00,1.30,359.00,0.00
TOTAL ADMIN & GENERAL LABOR & RELATED,80309.00,6.30,92554.00,7.50,-12245.00,-1.30,96641.00,7.50,-16331.00,-1.20
BAD DEBT,112.00,0.00,5000.00,0.40,-4888.00,-0.40,3311.00,0.30,-3199.00,-0.20
BANK FEES,1466.00,0.10,2500.00,0.20,-1034.00,-0.10,2576.00,0.20,-1109.00,-0.10
COLLECTION EXPENSE,75.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00
COMPLIMENTARY SERVICES & GIFTS,3236.00,0.30,0.00,0.00,3236.00,0.30,0.00,0.00,3236.00,0.30
CREDIT CARD FEES,51722.00,4.10,33100.00,2.70,18622.00,1.40,38862.00,3.00,12861.00,1.00
DUES & SUBSCRIPTIONS,186.00,0.00,221.00,0.00,-35.00,0.00,195.00,0.00,-9.00,0.00
GUEST RECOVERY,0.00,0.00,0.00,0.00,0.00,0.00,8576.00,0.70,-8576.00,-0.70
CORPORATE OFFICE REIMBURSABLES,4065.00,0.30,-3083.00,-0.30,7148.00,0.60,0.00,0.00,4065.00,0.30
LICENSES & PERMITS,2642.00,0.20,2500.00,0.20,142.00,0.00,1765.00,0.10,877.00,0.10
ENTERTAINMENT-IN-HOUSE,82.00,0.00,500.00,0.00,-418.00,0.00,153.00,0.00,-71.00,0.00
MISCELLANEOUS,3728.00,0.30,1850.00,0.20,1878.00,0.10,1571.00,0.10,2158.00,0.20
OPERATING SUPPLIES,1070.00,0.10,1600.00,0.10,-530.00,0.00,1604.00,0.10,-534.00,0.00
OVER/SHORT,2292.00,0.20,0.00,0.00,2292.00,0.20,72.00,0.00,2220.00,0.20
PAYROLL FEES,923.00,0.10,667.00,0.10,256.00,0.00,428.00,0.00,495.00,0.00
POSTAGE - EXPRESS MAIL,15.00,0.00,300.00,0.00,-285.00,0.00,146.00,0.00,-130.00,0.00
PROF FEES - LEGAL,1045.00,0.10,2000.00,0.20,-955.00,-0.10,1720.00,0.10,-675.00,-0.10
SECURITY,0.00,0.00,500.00,0.00,-500.00,0.00,0.00,0.00,0.00,0.00
TOTAL ADMIN & GENERAL OTHER EXPENSES,72660.00,5.70,47730.00,3.90,24929.00,1.80,60978.00,4.70,11682.00,1.00
TOTAL ADMIN & GENERAL EXPENSE,152969.00,12.00,140285.00,11.40,12684.00,0.60,157618.00,12.20,-4649.00,-0.20
DIRECTOR OF HUMAN RESOURCES,12170.00,1.00,13204.00,1.10,-1034.00,-0.10,15755.00,1.20,-3586.00,-0.30
HR ADMINISTRATION,2598.00,0.20,3079.00,0.30,-481.00,0.00,0.00,0.00,2598.00,0.20
SUBTOTAL: HUMAN RESOURCES SALARIES & WAGES,14767.00,1.20,16283.00,1.30,-1515.00,-0.20,15755.00,1.20,-988.00,-0.10
BONUS/INCENTIVES - HUMAN RESOURCES,925.00,0.10,1392.00,0.10,-467.00,0.00,1375.00,0.10,-450.00,0.00
TOTAL HUMAN RESOURCES BONUS,925.00,0.10,1392.00,0.10,-467.00,0.00,1375.00,0.10,-450.00,0.00
"TOTAL HUMAN RESOURCES SALARIES, WAGES, SC, CONTRACT & BONUS",15693.00,1.20,17675.00,1.40,-1982.00,-0.20,17130.00,1.30,-1438.00,-0.10
TOTAL HUMAN RESOURCES PAYROLL,15693.00,1.20,17675.00,1.40,-1982.00,-0.20,17130.00,1.30,-1438.00,-0.10
PAYROLL TAXES,1527.00,0.10,1237.00,0.10,290.00,0.00,1074.00,0.10,453.00,0.00
TOTAL HUMAN RESOURCE TAXES,1527.00,0.10,1237.00,0.10,290.00,0.00,1074.00,0.10,453.00,0.00
SUPPLEMENTAL PAY,1624.00,0.00,790.00,0.00,834.00,0.00,0.00,0.00,1624.00,0.00
PTO EXPENSE,1105.00,0.10,1060.00,0.10,44.00,0.00,155.00,0.00,950.00,0.10
TOTAL HUMAN RESOURCES SUPPLEMENTAL PAY,2729.00,0.20,1851.00,0.20,878.00,0.10,155.00,0.00,2573.00,0.20
WORKERS COMP,113.00,0.00,80.00,0.00,34.00,0.00,15.00,0.00,98.00,0.00
HEALTH INSURANCE,454.00,0.00,693.00,0.10,-238.00,0.00,912.00,0.10,-458.00,0.00
EMPLOYEE MEALS,85.00,0.00,110.00,0.00,-26.00,0.00,3.00,0.00,82.00,0.00
EMPLOYEE BENEFITS,13.00,0.00,15.00,0.00,-2.00,0.00,3.00,0.00,9.00,0.00
TOTAL HUMAN RESOURCES BENEFITS,665.00,0.10,898.00,0.10,-233.00,0.00,934.00,0.10,-269.00,0.00
TOTAL HUMAN RESOURCES TAXES & BENEFITS,4920.00,0.40,3985.00,0.30,935.00,0.10,2163.00,0.20,2757.00,0.20
"TOTAL HUMAN RESOURCES PAYROLL, TAXES & BENEFITS",20613.00,1.60,21660.00,1.80,-1047.00,-0.20,19293.00,1.50,1320.00,0.10
SHARED SERVICES FEE,486.00,0.00,490.00,0.00,-4.00,0.00,516.00,0.00,-30.00,0.00
AWARDS,0.00,0.00,216.00,0.00,-216.00,0.00,0.00,0.00,0.00,0.00
BACKGROUND CHECKS,625.00,0.00,350.00,0.00,275.00,0.00,350.00,0.00,275.00,0.00
EMPLOYEE RECRUITMENT,1118.00,0.10,1615.00,0.10,-497.00,0.00,225.00,0.00,893.00,0.10
EMPLOYEE RELATIONS,-290.00,0.00,3500.00,0.30,-3790.00,-0.30,1055.00,0.10,-1345.00,-0.10
MISCELLANEOUS,0.00,0.00,83.00,0.00,-83.00,0.00,0.00,0.00,0.00,0.00
PROF FEES - LEGAL,0.00,0.00,208.00,0.00,-208.00,0.00,0.00,0.00,0.00,0.00
TOTAL HUMAN RESOURCES OTHER EXPENSES,1940.00,0.20,6462.00,0.50,-4523.00,-0.40,2146.00,0.20,-207.00,0.00
TOTAL HUMAN RESOURCES EXPENSE,22552.00,1.80,28122.00,2.30,-5570.00,-0.50,21439.00,1.70,1113.00,0.10
IT MANAGER,4648.00,0.40,3932.00,0.30,716.00,0.00,4049.00,0.30,599.00,0.10
TELECOMMUNICATIONS,594.00,0.00,0.00,0.00,594.00,0.00,261.00,0.00,334.00,0.00
TOTAL IT SYSTEMS MANAGEMENT,5243.00,0.40,3932.00,0.30,1311.00,0.10,4310.00,0.30,932.00,0.10
TOTAL IT SYSTEMS SALARIES & WAGES,5243.00,0.40,3932.00,0.30,1311.00,0.10,4310.00,0.30,932.00,0.10
"TOTAL IT SYSTEMS SALARIES, WAGES, SC, CONTRACT & BONUS",5243.00,0.40,3932.00,0.30,1311.00,0.10,4310.00,0.30,932.00,0.10
PAYROLL TAXES,480.00,0.00,275.00,0.00,204.00,0.00,396.00,0.00,84.00,0.00
TOTAL IT SYSTEMS TAXES,480.00,6.90,275.00,5.20,204.00,1.70,396.00,6.80,84.00,0.10
SUPPLEMENTAL PAY,231.00,0.00,184.00,0.00,46.00,0.00,0.00,0.00,231.00,0.00
PTO EXPENSE,248.00,0.00,372.00,0.00,-124.00,0.00,428.00,0.00,-180.00,0.00
TOTAL IT SYSTEMS SUPPLEMENTAL PAY,479.00,6.90,556.00,10.60,-77.00,-3.70,428.00,7.30,51.00,-0.40
WORKERS COMP,113.00,0.00,48.00,0.00,66.00,0.00,59.00,0.00,54.00,0.00
HEALTH INSURANCE,561.00,0.00,407.00,0.00,154.00,0.00,636.00,0.00,-75.00,0.00
401K,8.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,8.00,0.00
EMPLOYEE MEALS,48.00,0.00,34.00,0.00,14.00,0.00,1.00,0.00,47.00,0.00
EMPLOYEE BENEFITS,4.00,0.00,5.00,0.00,-1.00,0.00,0.00,0.00,4.00,0.00
TOTAL IT SYSTEMS BENEFITS,734.00,10.60,494.00,9.40,240.00,1.20,697.00,12.00,37.00,-1.40
TOTAL IT SYSTEMS PAYROLL RELATED,1693.00,24.40,1325.00,25.20,367.00,-0.80,1520.00,26.10,172.00,-1.70
TOTAL IT SYSTEMS LABOR & RELATED,6935.00,0.50,5257.00,0.40,1678.00,0.10,5831.00,0.50,1105.00,0.10
COST OF CELL PHONES,1232.00,0.10,1362.00,0.10,-130.00,0.00,1239.00,0.10,-7.00,0.00
COST OF INTERNET SERVICE,3542.00,0.30,3244.00,0.30,298.00,0.00,3262.00,0.30,280.00,0.00
COST OF LONG DISTANCE CALLS,1025.00,0.10,977.00,0.10,48.00,0.00,952.00,0.10,73.00,0.00
TOTAL IT SYSTEMS COST OF SALES,5799.00,0.50,5583.00,0.50,216.00,0.00,5453.00,0.40,347.00,0.00
ADMINISTRATIVE AND GENERAL,6148.00,0.50,6781.00,0.60,-633.00,-0.10,6512.00,0.50,-364.00,0.00
CENTRALIZED INFORMATION SYSTEM CHANGES,9641.00,0.80,10315.00,0.80,-674.00,-0.10,9932.00,0.80,-291.00,0.00
FOOD AND BEVERAGE,4096.00,0.30,3949.00,0.30,147.00,0.00,3949.00,0.30,147.00,0.00
HARDWARE,0.00,0.00,0.00,0.00,0.00,0.00,14573.00,1.10,-14573.00,-1.10
HUMAN RESOURCES,3876.00,0.30,6400.00,0.50,-2524.00,-0.20,6900.00,0.50,-3024.00,-0.20
INFORMATION SECURITY,916.00,0.10,1548.00,0.10,-632.00,-0.10,1407.00,0.10,-491.00,0.00
INFORMATION SYSTEMS,1439.00,0.10,1106.00,0.10,333.00,0.00,292.00,0.00,1147.00,0.10
PROPERTY OPERATIONS AND MAINTENANCE,725.00,0.10,725.00,0.10,0.00,0.00,725.00,0.10,0.00,0.00
ROOMS,5267.00,0.40,5267.00,0.40,0.00,0.00,5267.00,0.40,0.00,0.00
SALES AND MARKETING,4084.00,0.30,3720.00,0.30,364.00,0.00,2379.00,0.20,1705.00,0.10
TOTAL IT SYSTEMS EXPENSES,36192.00,2.80,39811.00,3.20,-3620.00,-0.40,51935.00,4.00,-15744.00,-1.20
CONTRACT SERVICES,5781.00,0.50,5330.00,0.40,451.00,0.00,5330.00,0.40,451.00,0.00
CORPORATE OFFICE REIMBURSABLES,2116.00,0.20,0.00,0.00,2116.00,0.20,0.00,0.00,2116.00,0.20
OPERATING SUPPLIES,16.00,0.00,50.00,0.00,-34.00,0.00,15.00,0.00,1.00,0.00
TOTAL IT SYSTEMS OTHER EXPENSES,7914.00,0.60,5380.00,0.40,2534.00,0.20,5345.00,0.40,2569.00,0.20
TOTAL IT SYSTEMS EXPENSE,56840.00,4.50,56032.00,4.60,809.00,-0.10,68563.00,5.30,-11723.00,-0.90
DIRECTOR OF REVENUE MANAGEMENT,4896.00,0.40,5897.00,0.50,-1002.00,-0.10,5433.00,0.40,-537.00,0.00
CATERING SALES MANAGER,3218.00,0.30,6924.00,0.60,-3706.00,-0.30,5026.00,0.40,-1808.00,-0.10
DIRECTOR OF CATERING,23025.00,1.80,22808.00,1.90,217.00,-0.10,20814.00,1.60,2211.00,0.20
DIRECTOR OF SALES,5373.00,0.40,6044.00,0.50,-672.00,-0.10,7319.00,0.60,-1946.00,-0.10
SALES MANAGERS,18077.00,1.40,15575.00,1.30,2502.00,0.10,7951.00,0.60,10126.00,0.80
DIRECTOR OF SALES & MARKETING,6529.00,0.50,8658.00,0.70,-2129.00,-0.20,11191.00,0.90,-4663.00,-0.40
DIRECTOR OF MARKETING,13211.00,1.00,12470.00,1.00,740.00,0.00,6354.00,0.50,6857.00,0.50
TOTAL SALES & MARKETING MANAGEMENT,74327.00,5.80,78377.00,6.40,-4049.00,-0.60,64087.00,5.00,10240.00,0.90
ADMINISTRATIVE SUPPORT,6297.00,0.50,6242.00,0.50,55.00,0.00,3169.00,0.20,3127.00,0.20
TOTAL SALES & MARKETING NON-MANAGEMENT,6297.00,0.50,6242.00,0.50,55.00,0.00,3169.00,0.20,3127.00,0.20
SUBTOTAL: SALES & MARKETING SALARIES & WAGES,80624.00,6.30,84619.00,6.90,-3995.00,-0.60,67257.00,5.20,13367.00,1.10
BONUS/INCENTIVES - SALES AND MARKETING,11346.00,0.90,11407.00,0.90,-61.00,0.00,16267.00,1.30,-4922.00,-0.40
TOTAL SALES & MARKETING BONUS,11346.00,0.90,11407.00,0.90,-61.00,0.00,16267.00,1.30,-4922.00,-0.40
"TOTAL SALES & MARKETING SALARIES, WAGES, SC, CONTRACT & BONUS",91970.00,7.20,96025.00,7.80,-4055.00,-0.60,83524.00,6.50,8446.00,0.70
PAYROLL TAXES,8808.00,0.70,7682.00,0.60,1126.00,0.10,6215.00,0.50,2593.00,0.20
TOTAL SALES & MARKETING TAXES,8808.00,0.70,7682.00,0.60,1126.00,0.10,6215.00,0.50,2593.00,0.20
SUPPLEMENTAL PAY,8731.00,0.70,4552.00,0.40,4180.00,0.30,4615.00,0.40,4116.00,0.30
PTO EXPENSE,6311.00,0.50,5589.00,0.50,723.00,0.00,14805.00,1.10,-8493.00,-0.70
TOTAL SALES & MARKETING SUPPLEMENTAL PAY,15043.00,1.20,10140.00,0.80,4902.00,0.40,19420.00,1.50,-4377.00,-0.30
WORKERS COMP,655.00,0.10,759.00,0.10,-103.00,0.00,663.00,0.10,-8.00,0.00
HEALTH INSURANCE,-5633.00,-0.40,9458.00,0.80,-15091.00,-1.20,7980.00,0.60,-13613.00,-1.10
401K,1176.00,0.10,1364.00,0.10,-188.00,0.00,1020.00,0.10,156.00,0.00
EMPLOYEE MEALS,550.00,0.00,644.00,0.10,-94.00,0.00,17.00,0.00,533.00,0.00
EMPLOYEE BENEFITS,70.00,0.00,50.00,0.00,20.00,0.00,41.00,0.00,30.00,0.00
TOTAL SALES & MARKETING BENEFITS,-3181.00,-0.20,12274.00,1.00,-15456.00,-1.30,9720.00,0.80,-12902.00,-1.00
TOTAL SALES & MARKETING PAYROLL RELATED EXPENSES,20670.00,1.60,30097.00,2.50,-9427.00,-0.80,35355.00,2.70,-14685.00,-1.10
TOTAL SALES & MARKETING TOTAL LABOR & RELATED,112639.00,8.80,126122.00,10.30,-13482.00,-1.50,118879.00,9.20,-6239.00,-0.40
AGENCY FEES,5550.00,0.40,7550.00,0.60,-2000.00,-0.20,7155.00,0.60,-1605.00,-0.10
SHARED SERVICES,3037.00,0.20,3065.00,0.30,-27.00,0.00,3227.00,0.30,-190.00,0.00
CONTRACT SERVICES,2450.00,0.20,2580.00,0.20,-131.00,0.00,1626.00,0.10,824.00,0.10
DIRECT MAIL,2579.00,0.20,5350.00,0.40,-2771.00,-0.20,1854.00,0.10,725.00,0.10
DUES & SUBSCRIPTIONS,11746.00,0.90,11881.00,1.00,-135.00,0.00,18105.00,1.40,-6359.00,-0.50
EMPLOYEE TRAIN & DEVELOP,336.00,0.00,350.00,0.00,-14.00,0.00,350.00,0.00,-14.00,0.00
COMPLIMENTARY SERVICES & GIFTS,1863.00,0.10,2000.00,0.20,-137.00,0.00,683.00,0.10,1179.00,0.10
CORPORATE OFFICE REIMBURSABLES,4693.00,0.40,4693.00,0.40,0.00,0.00,0.00,0.00,4693.00,0.40
ENTERTAINMENT-IN-HOUSE,3844.00,0.30,3800.00,0.30,44.00,0.00,1792.00,0.10,2052.00,0.20
OPERATING SUPPLIES,1965.00,0.20,1700.00,0.10,265.00,0.00,2057.00,0.20,-93.00,0.00
OUTSIDE SERVICES,1801.00,0.10,740.00,0.10,1061.00,0.10,743.00,0.10,1058.00,0.10
POSTAGE - EXPRESS MAIL,29.00,0.00,25.00,0.00,4.00,0.00,10.00,0.00,19.00,0.00
MEDIA - PRINT,4443.00,0.30,4175.00,0.30,268.00,0.00,0.00,0.00,4443.00,0.30
PRODUCTION,12969.00,1.00,12959.00,1.10,10.00,0.00,5235.00,0.40,7734.00,0.60
MEDIA-F&B ADVERTISING,815.00,0.10,2083.00,0.20,-1268.00,-0.10,0.00,0.00,815.00,0.10
MEDIA-SPA ADVERTISING,0.00,0.00,1674.00,0.10,-1674.00,-0.10,536.00,0.00,-536.00,0.00
MEDIA-GOLF ADVERTISING,0.00,0.00,1000.00,0.10,-1000.00,-0.10,1000.00,0.10,-1000.00,-0.10
MEDIA-TRANSIENT,3000.00,0.20,3000.00,0.20,0.00,0.00,13000.00,1.00,-10000.00,-0.80
PROMOTIONS,840.00,0.10,1600.00,0.10,-760.00,-0.10,255.00,0.00,584.00,0.00
THIRD PARTY REPRESENTATION,11925.00,0.90,12175.00,1.00,-250.00,-0.10,15865.00,1.20,-3940.00,-0.30
TRADE SHOWS,-1991.00,-0.20,950.00,0.10,-2941.00,-0.20,1775.00,0.10,-3766.00,-0.30
T&E - MEALS,46.00,0.00,0.00,0.00,46.00,0.00,0.00,0.00,46.00,0.00
T&E - OTHER,500.00,0.00,500.00,0.00,0.00,0.00,600.00,0.00,-100.00,0.00
WEBSITE,37580.00,2.90,38680.00,3.20,-1100.00,-0.20,33435.00,2.60,4145.00,0.40
LOYALTY PROGRAMS AND AFFILIATI,3130.00,0.20,2383.00,0.20,748.00,0.10,0.00,0.00,3130.00,0.20
FRANCHISE AND AFFILIATION ADVE,10699.00,0.80,11675.00,1.00,-975.00,-0.10,12140.00,0.90,-1441.00,-0.10
FRANCHISE AND AFFILIATION ADVE,21398.00,1.70,23302.00,1.90,-1904.00,-0.20,19425.00,1.50,1973.00,0.20
FRANCHISE AND AFFILIATION ADVE,32270.00,2.50,32758.00,2.70,-488.00,-0.10,30241.00,2.30,2029.00,0.20
TOTAL SALES & MARKETING OTHER EXPENSES,177518.00,13.90,192647.00,15.70,-15129.00,-1.80,171112.00,13.30,6407.00,0.70
TOTAL SALES & MARKETING EXPENSE,290158.00,22.80,318769.00,26.00,-28612.00,-3.20,289990.00,22.50,167.00,0.30
GAS,6068.00,0.50,15000.00,1.20,-8932.00,-0.70,10270.00,0.80,-4202.00,-0.30
ELECTRICITY,82791.00,6.50,75000.00,6.10,7791.00,0.40,69397.00,5.40,13394.00,1.10
WATER,21282.00,1.70,17000.00,1.40,4282.00,0.30,16232.00,1.30,5050.00,0.40
TOTAL UTILITIES EXPENSE,110141.00,8.60,107000.00,8.70,3141.00,-0.10,95899.00,7.40,14242.00,1.20
DIRECTOR OF ENGINEERING,10846.00,0.90,9652.00,0.80,1194.00,0.10,9177.00,0.70,1670.00,0.10
CHIEF ENGINEER,4189.00,0.30,5953.00,0.50,-1763.00,-0.20,5423.00,0.40,-1234.00,-0.10
TOTAL PROPERTY OPERATIONS MANAGEMENT,15035.00,1.20,15605.00,1.30,-569.00,-0.10,14600.00,1.10,436.00,0.00
ADMINISTRATIVE SUPPORT,0.00,0.00,0.00,0.00,0.00,0.00,836.00,0.10,-836.00,-0.10
SUPERVISOR,7974.00,0.60,7069.00,0.60,905.00,0.00,5022.00,0.40,2952.00,0.20
DUTY ENGINEER,0.00,0.00,0.00,0.00,0.00,0.00,3324.00,0.30,-3324.00,-0.30
GENERAL MAINTENANCE,15382.00,1.20,26479.00,2.20,-11097.00,-1.00,22508.00,1.70,-7126.00,-0.50
TOTAL PROPERTY OPERATIONS NON-MANAGEMENT,23357.00,1.80,33548.00,2.70,-10191.00,-0.90,31691.00,2.50,-8334.00,-0.60
SUBTOTAL: PROPERTY OPERATIONS SALARIES & WAGES,38392.00,3.00,49153.00,4.00,-10761.00,-1.00,46291.00,3.60,-7899.00,-0.60
BONUS/INCENTIVES -PROPERTY OPERATIONS,1750.00,0.10,1750.00,0.10,0.00,0.00,0.00,0.00,1750.00,0.10
TOTAL PROPERTY OPERATIONS BONUS,1750.00,0.10,1750.00,0.10,0.00,0.00,0.00,0.00,1750.00,0.10
"TOTAL PROPERTY OPERATIONS SALARIES, WAGES, SC, CONTRACT & BONUS",40142.00,3.10,50903.00,4.20,-10761.00,-1.00,46291.00,3.60,-6149.00,-0.40
PAYROLL TAXES,4195.00,0.30,3894.00,0.30,301.00,0.00,3541.00,0.30,654.00,0.10
TOTAL PROPERTY OPERATIONS TAXES,4195.00,0.30,3894.00,0.30,301.00,0.00,3541.00,0.30,654.00,0.10
SUPPLEMENTAL PAY,10265.00,0.80,2352.00,0.20,7914.00,0.60,-1592.00,-0.10,11858.00,0.90
PTO EXPENSE,2446.00,0.20,2082.00,0.20,364.00,0.00,1604.00,0.10,842.00,0.10
TOTAL PROPERTY OPERATIONS SUPPLEMENTAL PAY,12711.00,1.00,4434.00,0.40,8278.00,0.60,12.00,0.00,12700.00,1.00
WORKERS COMP,514.00,0.00,713.00,0.10,-199.00,0.00,792.00,0.10,-278.00,0.00
HEALTH INSURANCE,-3716.00,-0.30,4306.00,0.40,-8022.00,-0.60,6146.00,0.50,-9861.00,-0.80
401K,150.00,0.00,102.00,0.00,48.00,0.00,469.00,0.00,-319.00,0.00
EMPLOYEE MEALS,518.00,0.00,536.00,0.00,-18.00,0.00,15.00,0.00,503.00,0.00
EMPLOYEE BENEFITS,34.00,0.00,25.00,0.00,9.00,0.00,25.00,0.00,9.00,0.00
